student_id,name,grade,counselor_id,restricted_teacher_ids
29057,Student_29057,10,,
29037,Student_29037,10,,
26041,Student_26041,12,,
27090,Student_27090,12,,
29174,Student_29174,10,,
28110,Student_28110,11,,
30056,Student_30056,9,,
28070,Student_28070,11,,
27023,Student_27023,12,,
30051,Student_30051,9,,
30080,Student_30080,9,,
28108,Student_28108,11,,
28115,Student_28115,11,,
29043,Student_29043,10,,
29111,Student_29111,10,,
27015,Student_27015,12,,
27042,Student_27042,12,,
28158,Student_28158,11,,
30105,Student_30105,9,,
30107,Student_30107,9,,
30090,Student_30090,9,,
27067,Student_27067,12,,
27066,Student_27066,12,,
28177,Student_28177,11,,
27104,Student_27104,12,,
28094,Student_28094,11,,
27074,Student_27074,12,,
28020,Student_28020,11,,
30026,Student_30026,9,,
30104,Student_30104,9,,
30075,Student_30075,9,,
30012,Student_30012,9,,
30087,Student_30087,9,,
30050,Student_30050,9,,
27180,Student_27180,12,,
28075,Student_28075,11,,
29073,Student_29073,10,,
30169,Student_30169,9,,
30032,Student_30032,9,,
29118,Student_29118,10,,
29038,Student_29038,10,,
29108,Student_29108,10,,
28113,Student_28113,11,,
28160,Student_28160,10,,
28095,Student_28095,11,,
28006,Student_28006,10,,
28038,Student_28038,11,,
27141,Student_27141,12,,
27116,Student_27116,12,,
28090,Student_28090,11,,
28168,Student_28168,11,,
29007,Student_29007,10,,
29156,Student_29156,10,,
28121,Student_28121,11,,
27041,Student_27041,11,,
28004,Student_28004,11,,
28169,Student_28169,11,,
29020,Student_29020,10,,
28142,Student_28142,11,,
28104,Student_28104,11,,
27058,Student_27058,11,,
28093,Student_28093,11,,
29036,Student_29036,10,,
27140,Student_27140,12,,
28056,Student_28056,11,,
29149,Student_29149,10,,
27120,Student_27120,12,,
27103,Student_27103,12,,
27027,Student_27027,12,,
29103,Student_29103,10,,
28097,Student_28097,11,,
28112,Student_28112,11,,
29041,Student_29041,10,,
30120,Student_30120,9,,
29056,Student_29056,10,,
27007,Student_27007,11,,
28181,Student_28181,11,,
29145,Student_29145,10,,
