student_id,name,grade,counselor_id,restricted_teacher_ids
26041,Student_26041,12,,
27090,Student_27090,12,,
27023,Student_27023,12,,
27015,Student_27015,12,,
27042,Student_27042,12,,
27067,Student_27067,12,,
27066,Student_27066,12,,
27104,Student_27104,12,,
27074,Student_27074,12,,
27180,Student_27180,12,,
27141,Student_27141,12,,
27116,Student_27116,12,,
27140,Student_27140,12,,
27120,Student_27120,12,,
27103,Student_27103,12,,
27027,Student_27027,12,,
27019,Student_27019,12,,
27018,Student_27018,12,,
27071,Student_27071,12,,
27005,Student_27005,12,,
27010,Student_27010,12,,
27014,Student_27014,12,,
27106,Student_27106,12,,
27142,Student_27142,12,,
26023,Student_26023,12,,
27160,Student_27160,12,,
27006,Student_27006,12,,
27098,Student_27098,12,,
27130,Student_27130,12,,
27012,Student_27012,12,,
26106,Student_26106,12,,
27097,Student_27097,12,,
27035,Student_27035,12,,
27025,Student_27025,12,,
27081,Student_27081,12,,
27131,Student_27131,12,,
27085,Student_27085,12,,
27022,Student_27022,12,,
27017,Student_27017,12,,
27040,Student_27040,12,,
27054,Student_27054,12,,
27059,Student_27059,12,,
27055,Student_27055,12,,
27108,Student_27108,12,,
27049,Student_27049,12,,
27114,Student_27114,12,,
27052,Student_27052,12,,
27183,Student_27183,12,,
27123,Student_27123,12,,
27174,Student_27174,12,,
27086,Student_27086,12,,
27051,Student_27051,12,,
27127,Student_27127,12,,
26040,Student_26040,12,,
27053,Student_27053,12,,
27091,Student_27091,12,,
26009,Student_26009,12,,
27043,Student_27043,12,,
27079,Student_27079,12,,
27111,Student_27111,12,,
27073,Student_27073,12,,
27028,Student_27028,12,,
27139,Student_27139,12,,
27046,Student_27046,12,,
27129,Student_27129,12,,
27151,Student_27151,12,,
27148,Student_27148,12,,502|10853
27001,Student_27001,12,,
27093,Student_27093,12,,
27138,Student_27138,12,,
28120,Student_28120,12,,
26024,Student_26024,12,,
27101,Student_27101,12,,
27061,Student_27061,12,,
27169,Student_27169,12,,
27050,Student_27050,12,,
27092,Student_27092,12,,
27038,Student_27038,12,,
27113,Student_27113,12,,
27078,Student_27078,12,,
26154,Student_26154,12,,
27179,Student_27179,12,,
27163,Student_27163,12,,
27063,Student_27063,12,,
27032,Student_27032,12,,
27060,Student_27060,12,,
27126,Student_27126,12,,
27124,Student_27124,12,,
27112,Student_27112,12,,
27134,Student_27134,12,,
27089,Student_27089,12,,
27026,Student_27026,12,,
27068,Student_27068,12,,
27036,Student_27036,12,,
27172,Student_27172,12,,
27020,Student_27020,12,,
27003,Student_27003,12,,
27002,Student_27002,12,,
27171,Student_27171,12,,
27109,Student_27109,12,,
26012,Student_26012,12,,5108|9811
27044,Student_27044,12,,
27164,Student_27164,12,,
27080,Student_27080,12,,
27029,Student_27029,12,,
27083,Student_27083,12,,
27132,Student_27132,12,,
27048,Student_27048,12,,
27162,Student_27162,12,,
27147,Student_27147,12,,
27076,Student_27076,12,,
27095,Student_27095,12,,
27107,Student_27107,12,,
27146,Student_27146,12,,
27096,Student_27096,12,,
27105,Student_27105,12,,
27077,Student_27077,12,,
27110,Student_27110,12,,
27030,Student_27030,12,,
27119,Student_27119,12,,
27118,Student_27118,12,,
